source,target
RE-766.txt,DD-439.txt
RE-759.txt,DD-362.txt
RE-759.txt,DD-468.txt
RE-759.txt,DD-498.txt
RE-759.txt,DD-536.txt
RE-759.txt,DD-537.txt
RE-759.txt,DD-538.txt
RE-759.txt,DD-540.txt
RE-754.txt,DD-755.txt
RE-754.txt,DD-756.txt
RE-754.txt,DD-757.txt
RE-751.txt,DD-752.txt
RE-751.txt,DD-753.txt
RE-746.txt,DD-747.txt
RE-746.txt,DD-748.txt
RE-741.txt,DD-742.txt
RE-741.txt,DD-743.txt
RE-741.txt,DD-744.txt
RE-741.txt,DD-745.txt
RE-739.txt,DD-740.txt
RE-736.txt,DD-737.txt
RE-729.txt,DD-727.txt
RE-729.txt,DD-728.txt
RE-729.txt,DD-730.txt
RE-729.txt,DD-731.txt
RE-729.txt,DD-732.txt
RE-729.txt,DD-733.txt
RE-729.txt,DD-734.txt
RE-729.txt,DD-735.txt
RE-729.txt,DD-768.txt
RE-722.txt,DD-723.txt
RE-722.txt,DD-724.txt
RE-722.txt,DD-763.txt
RE-714.txt,DD-361.txt
RE-714.txt,DD-715.txt
RE-714.txt,DD-716.txt
RE-709.txt,DD-354.txt
RE-709.txt,DD-710.txt
RE-709.txt,DD-711.txt
RE-709.txt,DD-712.txt
RE-709.txt,DD-713.txt
RE-706.txt,DD-707.txt
RE-702.txt,DD-703.txt
RE-702.txt,DD-704.txt
RE-702.txt,DD-705.txt
RE-701.txt,DD-445.txt
RE-698.txt,DD-699.txt
RE-695.txt,DD-696.txt
RE-695.txt,DD-697.txt
RE-693.txt,DD-694.txt
RE-691.txt,DD-692.txt
RE-689.txt,DD-229.txt
RE-689.txt,DD-690.txt
RE-681.txt,DD-113.txt
RE-681.txt,DD-682.txt
RE-681.txt,DD-683.txt
RE-679.txt,DD-168.txt
RE-677.txt,DD-678.txt
RE-672.txt,DD-673.txt
RE-672.txt,DD-674.txt
RE-672.txt,DD-675.txt
RE-672.txt,DD-676.txt
RE-672.txt,DD-767.txt
RE-670.txt,DD-671.txt
RE-668.txt,DD-669.txt
RE-668.txt,DD-762.txt
RE-666.txt,DD-667.txt
RE-664.txt,DD-421.txt
RE-664.txt,DD-665.txt
RE-659.txt,DD-660.txt
RE-659.txt,DD-661.txt
RE-656.txt,DD-657.txt
RE-656.txt,DD-658.txt
RE-655.txt,DD-760.txt
RE-655.txt,DD-761.txt
RE-651.txt,DD-652.txt
RE-651.txt,DD-654.txt
RE-649.txt,DD-352.txt
RE-649.txt,DD-650.txt
RE-646.txt,DD-647.txt
RE-646.txt,DD-648.txt
RE-643.txt,DD-117.txt
RE-643.txt,DD-118.txt
RE-643.txt,DD-119.txt
RE-642.txt,DD-122.txt
RE-639.txt,DD-640.txt
RE-637.txt,DD-638.txt
RE-634.txt,DD-635.txt
RE-634.txt,DD-636.txt
RE-630.txt,DD-631.txt
RE-630.txt,DD-632.txt
RE-630.txt,DD-633.txt
RE-630.txt,DD-764.txt
RE-628.txt,DD-629.txt
RE-626.txt,DD-627.txt
RE-616.txt,DD-213.txt
RE-616.txt,DD-617.txt
RE-616.txt,DD-618.txt
RE-616.txt,DD-619.txt
RE-611.txt,DD-104.txt
RE-611.txt,DD-612.txt
RE-611.txt,DD-613.txt
RE-611.txt,DD-614.txt
RE-611.txt,DD-615.txt
RE-597.txt,DD-603.txt
RE-597.txt,DD-609.txt
RE-596.txt,DD-602.txt
RE-596.txt,DD-608.txt
RE-595.txt,DD-600.txt
RE-595.txt,DD-601.txt
RE-595.txt,DD-606.txt
RE-595.txt,DD-607.txt
RE-594.txt,DD-599.txt
RE-594.txt,DD-605.txt
RE-589.txt,DD-590.txt
RE-587.txt,DD-588.txt
RE-576.txt,DD-577.txt
RE-574.txt,DD-575.txt
RE-558.txt,DD-559.txt
RE-558.txt,DD-560.txt
RE-558.txt,DD-561.txt
RE-555.txt,DD-81.txt
RE-551.txt,DD-552.txt
RE-549.txt,DD-550.txt
RE-547.txt,DD-548.txt
RE-545.txt,DD-546.txt
RE-541.txt,DD-542.txt
RE-541.txt,DD-543.txt
RE-541.txt,DD-544.txt
RE-531.txt,DD-532.txt
RE-531.txt,DD-534.txt
RE-531.txt,DD-535.txt
RE-525.txt,DD-526.txt
RE-523.txt,DD-524.txt
RE-521.txt,DD-522.txt
RE-517.txt,DD-519.txt
RE-516.txt,DD-518.txt
RE-510.txt,DD-511.txt
RE-510.txt,DD-512.txt
RE-510.txt,DD-513.txt
RE-510.txt,DD-514.txt
RE-510.txt,DD-515.txt
RE-508.txt,DD-509.txt
RE-505.txt,DD-506.txt
RE-505.txt,DD-507.txt
RE-503.txt,DD-504.txt
RE-501.txt,DD-502.txt
RE-501.txt,DD-75.txt
RE-424.txt,DD-520.txt
RE-235.txt,DD-749.txt
RE-235.txt,DD-750.txt
RE-161.txt,DD-584.txt
RE-161.txt,DD-585.txt
RE-161.txt,DD-586.txt
RE-160.txt,DD-718.txt
RE-160.txt,DD-719.txt
RE-160.txt,DD-720.txt
RE-160.txt,DD-721.txt
RE-127.txt,DD-564.txt
RE-127.txt,DD-566.txt
RE-126.txt,DD-565.txt
RE-124.txt,DD-567.txt
RE-124.txt,DD-568.txt
RE-124.txt,DD-569.txt
RE-120.txt,DD-121.txt
RE-120.txt,DD-685.txt
RE-120.txt,DD-686.txt
RE-120.txt,DD-687.txt
RE-120.txt,DD-688.txt
RE-114.txt,DD-684.txt
RE-112.txt,DD-644.txt
RE-110.txt,DD-622.txt
RE-110.txt,DD-623.txt
RE-110.txt,DD-624.txt
RE-110.txt,DD-625.txt
RE-108.txt,DD-621.txt
RE-103.txt,DD-553.txt
RE-101.txt,DD-554.txt
RE-100.txt,DD-87.txt
RE-86.txt,DD-27.txt
RE-86.txt,DD-84.txt
RE-86.txt,DD-85.txt
RE-80.txt,DD-527.txt
RE-80.txt,DD-528.txt
RE-80.txt,DD-529.txt
RE-80.txt,DD-530.txt
RE-77.txt,DD-177.txt
RE-77.txt,DD-23.txt
RE-77.txt,DD-24.txt
RE-38.txt,DD-571.txt
RE-36.txt,DD-583.txt
RE-28.txt,DD-556.txt
RE-28.txt,DD-557.txt
RE-25.txt,DD-572.txt
RE-25.txt,DD-573.txt
RE-9.txt,DD-11.txt
RE-9.txt,DD-18.txt
RE-9.txt,DD-19.txt
RE-9.txt,DD-20.txt
RE-9.txt,DD-21.txt
RE-9.txt,DD-22.txt
RE-8.txt,DD-26.txt
RE-8.txt,DD-30.txt
RE-8.txt,DD-31.txt
RE-8.txt,DD-32.txt
RE-8.txt,DD-33.txt
RE-8.txt,DD-500.txt
RE-8.txt,DD-578.txt
RE-8.txt,DD-579.txt
RE-8.txt,DD-580.txt
